EntityID,FlagID,Evidence
18813064000177,F13,LABCONTAS: Entity 18813064000177 is linked to flag Cadastro Unico Benefits in brazilian public data sources
26915509000158,F13,LABCONTAS: Entity 26915509000158 is linked to flag Cadastro Unico Benefits in brazilian public data sources
45347126000175,F13,LABCONTAS: Entity 45347126000175 is linked to flag Cadastro Unico Benefits in brazilian public data sources
45584277000147,F13,LABCONTAS: Entity 45584277000147 is linked to flag Cadastro Unico Benefits in brazilian public data sources
40788766000105,F12,LABCONTAS: Entity 40788766000105 is linked to flag Common Partners in brazilian public data sources
28196889000143,F12,LABCONTAS: Entity 28196889000143 is linked to flag Common Partners in brazilian public data sources
40159576000110,F12,LABCONTAS: Entity 40159576000110 is linked to flag Common Partners in brazilian public data sources
41331709000157,F12,LABCONTAS: Entity 41331709000157 is linked to flag Common Partners in brazilian public data sources
35339031000156,F12,LABCONTAS: Entity 35339031000156 is linked to flag Common Partners in brazilian public data sources
11563145000117,F12,LABCONTAS: Entity 11563145000117 is linked to flag Common Partners in brazilian public data sources
18343439000182,F12,LABCONTAS: Entity 18343439000182 is linked to flag Common Partners in brazilian public data sources
48965143000164,F12,LABCONTAS: Entity 48965143000164 is linked to flag Common Partners in brazilian public data sources
45118371000100,F12,LABCONTAS: Entity 45118371000100 is linked to flag Common Partners in brazilian public data sources
40282584000150,F12,LABCONTAS: Entity 40282584000150 is linked to flag Common Partners in brazilian public data sources
40792385000191,F12,LABCONTAS: Entity 40792385000191 is linked to flag Common Partners in brazilian public data sources
13626917000148,F12,LABCONTAS: Entity 13626917000148 is linked to flag Common Partners in brazilian public data sources
11017341000196,F12,LABCONTAS: Entity 11017341000196 is linked to flag Common Partners in brazilian public data sources
11064603000173,F12,LABCONTAS: Entity 11064603000173 is linked to flag Common Partners in brazilian public data sources
13315214000107,F12,LABCONTAS: Entity 13315214000107 is linked to flag Common Partners in brazilian public data sources
14323297000130,F12,LABCONTAS: Entity 14323297000130 is linked to flag Common Partners in brazilian public data sources
13505795000131,F12,LABCONTAS: Entity 13505795000131 is linked to flag Common Partners in brazilian public data sources
28613773000162,F12,LABCONTAS: Entity 28613773000162 is linked to flag Common Partners in brazilian public data sources
18519725000156,F12,LABCONTAS: Entity 18519725000156 is linked to flag Common Partners in brazilian public data sources
26699784000181,F12,LABCONTAS: Entity 26699784000181 is linked to flag Common Partners in brazilian public data sources
18689359000183,F12,LABCONTAS: Entity 18689359000183 is linked to flag Common Partners in brazilian public data sources
40882988000184,F12,LABCONTAS: Entity 40882988000184 is linked to flag Common Partners in brazilian public data sources
41407930000141,F12,LABCONTAS: Entity 41407930000141 is linked to flag Common Partners in brazilian public data sources
41552298000120,F12,LABCONTAS: Entity 41552298000120 is linked to flag Common Partners in brazilian public data sources
26915509000158,F12,LABCONTAS: Entity 26915509000158 is linked to flag Common Partners in brazilian public data sources
45705767000154,F12,LABCONTAS: Entity 45705767000154 is linked to flag Common Partners in brazilian public data sources
19089231000141,F12,LABCONTAS: Entity 19089231000141 is linked to flag Common Partners in brazilian public data sources
11516717000107,F12,LABCONTAS: Entity 11516717000107 is linked to flag Common Partners in brazilian public data sources
13324282000124,F12,LABCONTAS: Entity 13324282000124 is linked to flag Common Partners in brazilian public data sources
47304790000162,F12,LABCONTAS: Entity 47304790000162 is linked to flag Common Partners in brazilian public data sources
26562837000118,F12,LABCONTAS: Entity 26562837000118 is linked to flag Common Partners in brazilian public data sources
41320417000119,F12,LABCONTAS: Entity 41320417000119 is linked to flag Common Partners in brazilian public data sources
26242393000133,F12,LABCONTAS: Entity 26242393000133 is linked to flag Common Partners in brazilian public data sources
11056054000195,F12,LABCONTAS: Entity 11056054000195 is linked to flag Common Partners in brazilian public data sources
11892959000103,F12,LABCONTAS: Entity 11892959000103 is linked to flag Common Partners in brazilian public data sources
13258899000199,F12,LABCONTAS: Entity 13258899000199 is linked to flag Common Partners in brazilian public data sources
13838303000120,F12,LABCONTAS: Entity 13838303000120 is linked to flag Common Partners in brazilian public data sources
12360485000103,F12,LABCONTAS: Entity 12360485000103 is linked to flag Common Partners in brazilian public data sources
26392234000115,F12,LABCONTAS: Entity 26392234000115 is linked to flag Common Partners in brazilian public data sources
18545564000175,F12,LABCONTAS: Entity 18545564000175 is linked to flag Common Partners in brazilian public data sources
11187013000138,F12,LABCONTAS: Entity 11187013000138 is linked to flag Common Partners in brazilian public data sources
40976095000106,F12,LABCONTAS: Entity 40976095000106 is linked to flag Common Partners in brazilian public data sources
13123772000162,F12,LABCONTAS: Entity 13123772000162 is linked to flag Common Partners in brazilian public data sources
45839264000171,F12,LABCONTAS: Entity 45839264000171 is linked to flag Common Partners in brazilian public data sources
11224757000185,F12,LABCONTAS: Entity 11224757000185 is linked to flag Common Partners in brazilian public data sources
36328186000150,F12,LABCONTAS: Entity 36328186000150 is linked to flag Common Partners in brazilian public data sources
49755681000197,F12,LABCONTAS: Entity 49755681000197 is linked to flag Common Partners in brazilian public data sources
11505046000189,F12,LABCONTAS: Entity 11505046000189 is linked to flag Common Partners in brazilian public data sources
11320576000152,F12,LABCONTAS: Entity 11320576000152 is linked to flag Common Partners in brazilian public data sources
40117556000187,F12,LABCONTAS: Entity 40117556000187 is linked to flag Common Partners in brazilian public data sources
13418193000147,F12,LABCONTAS: Entity 13418193000147 is linked to flag Common Partners in brazilian public data sources
44702299000100,F12,LABCONTAS: Entity 44702299000100 is linked to flag Common Partners in brazilian public data sources
13515708000127,F12,LABCONTAS: Entity 13515708000127 is linked to flag Common Partners in brazilian public data sources
40159576000110,F10,LABCONTAS: Entity 40159576000110 is linked to flag Same Phone Number in brazilian public data sources
45002595000152,F10,LABCONTAS: Entity 45002595000152 is linked to flag Same Phone Number in brazilian public data sources
45249840000120,F10,LABCONTAS: Entity 45249840000120 is linked to flag Same Phone Number in brazilian public data sources
44818547000174,F17,LABCONTAS: Entity 44818547000174 is linked to flag Disproportionate Contract Value in brazilian public data sources
45186692000142,F17,LABCONTAS: Entity 45186692000142 is linked to flag Disproportionate Contract Value in brazilian public data sources
45286027000120,F17,LABCONTAS: Entity 45286027000120 is linked to flag Disproportionate Contract Value in brazilian public data sources
45520466000156,F17,LABCONTAS: Entity 45520466000156 is linked to flag Disproportionate Contract Value in brazilian public data sources
45693171000181,F17,LABCONTAS: Entity 45693171000181 is linked to flag Disproportionate Contract Value in brazilian public data sources
45988351000190,F17,LABCONTAS: Entity 45988351000190 is linked to flag Disproportionate Contract Value in brazilian public data sources
48965143000164,F17,LABCONTAS: Entity 48965143000164 is linked to flag Disproportionate Contract Value in brazilian public data sources
49195453000100,F17,LABCONTAS: Entity 49195453000100 is linked to flag Disproportionate Contract Value in brazilian public data sources
49280184000180,F17,LABCONTAS: Entity 49280184000180 is linked to flag Disproportionate Contract Value in brazilian public data sources
49390622000162,F17,LABCONTAS: Entity 49390622000162 is linked to flag Disproportionate Contract Value in brazilian public data sources
49759289000116,F17,LABCONTAS: Entity 49759289000116 is linked to flag Disproportionate Contract Value in brazilian public data sources
11301568000169,F17,LABCONTAS: Entity 11301568000169 is linked to flag Disproportionate Contract Value in brazilian public data sources
11320576000152,F17,LABCONTAS: Entity 11320576000152 is linked to flag Disproportionate Contract Value in brazilian public data sources
11334391000105,F17,LABCONTAS: Entity 11334391000105 is linked to flag Disproportionate Contract Value in brazilian public data sources
11601227000109,F17,LABCONTAS: Entity 11601227000109 is linked to flag Disproportionate Contract Value in brazilian public data sources
11685751000105,F17,LABCONTAS: Entity 11685751000105 is linked to flag Disproportionate Contract Value in brazilian public data sources
12104118000149,F17,LABCONTAS: Entity 12104118000149 is linked to flag Disproportionate Contract Value in brazilian public data sources
12360485000103,F17,LABCONTAS: Entity 12360485000103 is linked to flag Disproportionate Contract Value in brazilian public data sources
12500834000145,F17,LABCONTAS: Entity 12500834000145 is linked to flag Disproportionate Contract Value in brazilian public data sources
12505370000160,F17,LABCONTAS: Entity 12505370000160 is linked to flag Disproportionate Contract Value in brazilian public data sources
10807173000170,F17,LABCONTAS: Entity 10807173000170 is linked to flag Disproportionate Contract Value in brazilian public data sources
10942831000136,F17,LABCONTAS: Entity 10942831000136 is linked to flag Disproportionate Contract Value in brazilian public data sources
10977915000105,F17,LABCONTAS: Entity 10977915000105 is linked to flag Disproportionate Contract Value in brazilian public data sources
10980376000163,F17,LABCONTAS: Entity 10980376000163 is linked to flag Disproportionate Contract Value in brazilian public data sources
11056054000195,F17,LABCONTAS: Entity 11056054000195 is linked to flag Disproportionate Contract Value in brazilian public data sources
11064603000173,F17,LABCONTAS: Entity 11064603000173 is linked to flag Disproportionate Contract Value in brazilian public data sources
11195926000104,F17,LABCONTAS: Entity 11195926000104 is linked to flag Disproportionate Contract Value in brazilian public data sources
11311279000140,F17,LABCONTAS: Entity 11311279000140 is linked to flag Disproportionate Contract Value in brazilian public data sources
11399787000122,F17,LABCONTAS: Entity 11399787000122 is linked to flag Disproportionate Contract Value in brazilian public data sources
11402100000160,F17,LABCONTAS: Entity 11402100000160 is linked to flag Disproportionate Contract Value in brazilian public data sources
11567767000113,F17,LABCONTAS: Entity 11567767000113 is linked to flag Disproportionate Contract Value in brazilian public data sources
28551269000185,F17,LABCONTAS: Entity 28551269000185 is linked to flag Disproportionate Contract Value in brazilian public data sources
29080193000110,F17,LABCONTAS: Entity 29080193000110 is linked to flag Disproportionate Contract Value in brazilian public data sources
