EntityID,EntityWeight
44624108000120,20800.0
44632084000151,10060.9
44650853000144,200162.9
44651148000161,39769.3
44699903000188,11393.2
44702299000100,192159.3
44703349000165,249723.2
44725930000188,39730.2
44734412000120,53160.0
44746467000150,101616.1
44772937000150,815292.6
44781774000172,128833.7
44791976000103,35927.2
44801498000167,25698.3
44801853000106,16959.9
44812602000119,255193.1
44818547000174,1560421.3
44845034000152,29859.9
44880345000152,14900.0
44920089000180,23844.0
44954785000107,14629.8
44965792000104,426387.6
44993260000180,943896.4
45002595000152,522134.0
45069283000166,12500.0
45116602000147,124449.9
45118371000100,86169.2
45127054000150,22165.0
45127148000120,205068.3
45128112000160,25777.7
45162420000102,80140.0
45178767000143,10800.0
45179191000139,53193.8
45186692000142,100000.0
45195667000125,36687.9
45197809000193,13160.0
45249840000120,181659.2
45276143000169,222524.1
45286027000120,12706.0
45289329000152,70527.2
45291154000118,855519.0
45298461000120,23400.0
45306466000158,8685.0
45336448000119,126629.9
45347126000175,27404.6
45352595000182,57987.7
45359973000150,3525658.0
45373478000103,44139.4
45427500000142,16390.5
45461989000179,62284.0
45482206000133,11089.3
45498572000180,229413.6
45501724000157,28272.0
45520466000156,159187.2
45530189000162,163388.1
45551232000176,523012.5
45557614000107,282735.4
45584277000147,19863.5
45606844000119,9384.1
45693171000181,387351.3
45699339000166,59307.1
45705767000154,3909852.2
45742260000170,26484.5
45767600000118,31831.0
45781756000153,17486.0
45809582000190,142300.0
45839264000171,84808.2
45851232000191,67287.5
45868298000194,162580.6
45890291000179,146917.7
45897289000121,8776.4
45915893000133,101081.5
45924267000103,2906427.4
45950836000195,21370.0
45961500000128,14000.0
45972055000100,15006.7
45988351000190,26142.8
46024434000122,19666.0
46031470000113,35899.9
46062761000179,48549.9
46071589000110,95337.9
46083361000140,9837.0
48753674000193,66389.6
48767050000125,20800.0
48820309000154,15957.0
48836857000172,150011.4
48866009000106,68976.4
48874126000111,11638.0
48876837000125,280257.0
48885261000162,46595.3
48890434000130,25000.0
48896288000150,66100.0
48917237000168,9433.8
48939276000166,2683659.9
48939384000139,80416.8
48941653000100,179260.0
48960841000177,136470.2
48965143000164,1695201.6
48965582000177,12700.0
48991292000106,33347.7
49010527000196,31184.9
49017735000117,116242.2
